method	truth	level	gene	correct	n	called	accuracy
A/F-native	A	g_group	A	8	8	8	1.0000
A/F-native	A	g_group	ALL	58	63	63	0.9206
A/F-native	A	g_group	B	6	8	8	0.7500
A/F-native	A	g_group	C	7	7	7	1.0000
A/F-native	A	g_group	DPA1	6	8	8	0.7500
A/F-native	A	g_group	DPB1	7	8	8	0.8750
A/F-native	A	g_group	DQA1	8	8	8	1.0000
A/F-native	A	g_group	DQB1	8	8	8	1.0000
A/F-native	A	g_group	DRB1	8	8	8	1.0000
A/F-native	A	three_field	A	8	8	8	1.0000
A/F-native	A	three_field	ALL	55	62	62	0.8871
A/F-native	A	three_field	B	6	8	8	0.7500
A/F-native	A	three_field	C	7	7	7	1.0000
A/F-native	A	three_field	DPA1	5	8	8	0.6250
A/F-native	A	three_field	DPB1	7	8	8	0.8750
A/F-native	A	three_field	DQA1	8	8	8	1.0000
A/F-native	A	three_field	DQB1	8	8	8	1.0000
A/F-native	A	three_field	DRB1	6	7	7	0.8571
A/F-native	A	two_field	A	8	8	8	1.0000
A/F-native	A	two_field	ALL	61	63	63	0.9683
A/F-native	A	two_field	B	8	8	8	1.0000
A/F-native	A	two_field	C	7	7	7	1.0000
A/F-native	A	two_field	DPA1	7	8	8	0.8750
A/F-native	A	two_field	DPB1	7	8	8	0.8750
A/F-native	A	two_field	DQA1	8	8	8	1.0000
A/F-native	A	two_field	DQB1	8	8	8	1.0000
A/F-native	A	two_field	DRB1	8	8	8	1.0000
A/F-native	B	g_group	A	2	2	2	1.0000
A/F-native	B	g_group	ALL	10	10	10	1.0000
A/F-native	B	g_group	B	2	2	2	1.0000
A/F-native	B	g_group	C	2	2	2	1.0000
A/F-native	B	g_group	DQB1	2	2	2	1.0000
A/F-native	B	g_group	DRB1	2	2	2	1.0000
A/F-native	B	two_field	A	2	2	2	1.0000
A/F-native	B	two_field	ALL	10	10	10	1.0000
A/F-native	B	two_field	B	2	2	2	1.0000
A/F-native	B	two_field	C	2	2	2	1.0000
A/F-native	B	two_field	DQB1	2	2	2	1.0000
A/F-native	B	two_field	DRB1	2	2	2	1.0000
A/F-native-G	A	g_group	A	8	8	8	1.0000
A/F-native-G	A	g_group	ALL	62	63	62	0.9841
A/F-native-G	A	g_group	B	8	8	8	1.0000
A/F-native-G	A	g_group	C	7	7	7	1.0000
A/F-native-G	A	g_group	DPA1	8	8	8	1.0000
A/F-native-G	A	g_group	DPB1	8	8	8	1.0000
A/F-native-G	A	g_group	DQA1	8	8	8	1.0000
A/F-native-G	A	g_group	DQB1	8	8	8	1.0000
A/F-native-G	A	g_group	DRB1	7	8	7	0.8750
A/F-native-G	A	three_field	A	8	8	8	1.0000
A/F-native-G	A	three_field	ALL	52	62	62	0.8387
A/F-native-G	A	three_field	B	7	8	8	0.8750
A/F-native-G	A	three_field	C	5	7	7	0.7143
A/F-native-G	A	three_field	DPA1	8	8	8	1.0000
A/F-native-G	A	three_field	DPB1	7	8	8	0.8750
A/F-native-G	A	three_field	DQA1	4	8	8	0.5000
A/F-native-G	A	three_field	DQB1	7	8	8	0.8750
A/F-native-G	A	three_field	DRB1	6	7	7	0.8571
A/F-native-G	A	two_field	A	8	8	8	1.0000
A/F-native-G	A	two_field	ALL	56	63	63	0.8889
A/F-native-G	A	two_field	B	8	8	8	1.0000
A/F-native-G	A	two_field	C	6	7	7	0.8571
A/F-native-G	A	two_field	DPA1	8	8	8	1.0000
A/F-native-G	A	two_field	DPB1	7	8	8	0.8750
A/F-native-G	A	two_field	DQA1	4	8	8	0.5000
A/F-native-G	A	two_field	DQB1	7	8	8	0.8750
A/F-native-G	A	two_field	DRB1	8	8	8	1.0000
A/F-native-G	B	g_group	A	2	2	2	1.0000
A/F-native-G	B	g_group	ALL	10	10	10	1.0000
A/F-native-G	B	g_group	B	2	2	2	1.0000
A/F-native-G	B	g_group	C	2	2	2	1.0000
A/F-native-G	B	g_group	DQB1	2	2	2	1.0000
A/F-native-G	B	g_group	DRB1	2	2	2	1.0000
A/F-native-G	B	two_field	A	2	2	2	1.0000
A/F-native-G	B	two_field	ALL	10	10	10	1.0000
A/F-native-G	B	two_field	B	2	2	2	1.0000
A/F-native-G	B	two_field	C	2	2	2	1.0000
A/F-native-G	B	two_field	DQB1	2	2	2	1.0000
A/F-native-G	B	two_field	DRB1	2	2	2	1.0000
A/F-pg	A	g_group	A	8	8	8	1.0000
A/F-pg	A	g_group	ALL	58	63	63	0.9206
A/F-pg	A	g_group	B	8	8	8	1.0000
A/F-pg	A	g_group	C	7	7	7	1.0000
A/F-pg	A	g_group	DPA1	7	8	8	0.8750
A/F-pg	A	g_group	DPB1	7	8	8	0.8750
A/F-pg	A	g_group	DQA1	8	8	8	1.0000
A/F-pg	A	g_group	DQB1	8	8	8	1.0000
A/F-pg	A	g_group	DRB1	5	8	8	0.6250
A/F-pg	A	three_field	A	8	8	8	1.0000
A/F-pg	A	three_field	ALL	56	62	59	0.9032
A/F-pg	A	three_field	B	8	8	8	1.0000
A/F-pg	A	three_field	C	7	7	7	1.0000
A/F-pg	A	three_field	DPA1	6	8	8	0.7500
A/F-pg	A	three_field	DPB1	6	8	7	0.7500
A/F-pg	A	three_field	DQA1	8	8	8	1.0000
A/F-pg	A	three_field	DQB1	8	8	8	1.0000
A/F-pg	A	three_field	DRB1	5	7	5	0.7143
A/F-pg	A	two_field	A	8	8	8	1.0000
A/F-pg	A	two_field	ALL	58	63	63	0.9206
A/F-pg	A	two_field	B	8	8	8	1.0000
A/F-pg	A	two_field	C	7	7	7	1.0000
A/F-pg	A	two_field	DPA1	8	8	8	1.0000
A/F-pg	A	two_field	DPB1	6	8	8	0.7500
A/F-pg	A	two_field	DQA1	8	8	8	1.0000
A/F-pg	A	two_field	DQB1	8	8	8	1.0000
A/F-pg	A	two_field	DRB1	5	8	8	0.6250
A/F-pg	B	g_group	A	2	2	2	1.0000
A/F-pg	B	g_group	ALL	10	10	10	1.0000
A/F-pg	B	g_group	B	2	2	2	1.0000
A/F-pg	B	g_group	C	2	2	2	1.0000
A/F-pg	B	g_group	DQB1	2	2	2	1.0000
A/F-pg	B	g_group	DRB1	2	2	2	1.0000
A/F-pg	B	two_field	A	2	2	2	1.0000
A/F-pg	B	two_field	ALL	10	10	10	1.0000
A/F-pg	B	two_field	B	2	2	2	1.0000
A/F-pg	B	two_field	C	2	2	2	1.0000
A/F-pg	B	two_field	DQB1	2	2	2	1.0000
A/F-pg	B	two_field	DRB1	2	2	2	1.0000
native/F-native	A	g_group	A	8	8	8	1.0000
native/F-native	A	g_group	ALL	58	63	63	0.9206
native/F-native	A	g_group	B	6	8	8	0.7500
native/F-native	A	g_group	C	7	7	7	1.0000
native/F-native	A	g_group	DPA1	6	8	8	0.7500
native/F-native	A	g_group	DPB1	7	8	8	0.8750
native/F-native	A	g_group	DQA1	8	8	8	1.0000
native/F-native	A	g_group	DQB1	8	8	8	1.0000
native/F-native	A	g_group	DRB1	8	8	8	1.0000
native/F-native	A	three_field	A	8	8	8	1.0000
native/F-native	A	three_field	ALL	55	62	62	0.8871
native/F-native	A	three_field	B	6	8	8	0.7500
native/F-native	A	three_field	C	7	7	7	1.0000
native/F-native	A	three_field	DPA1	6	8	8	0.7500
native/F-native	A	three_field	DPB1	7	8	8	0.8750
native/F-native	A	three_field	DQA1	7	8	8	0.8750
native/F-native	A	three_field	DQB1	8	8	8	1.0000
